"Action","Aktion"
"Add Item","Das Erzeugnis addieren"
"Add New Question","Neue Frage addieren"
"All products questions","Alle Produktion Fragen"
"Are you sure?","Sind Sie versichert?"
"Ask Your Own Question","Eigene Frage addieren"
"Author email","Autor e-mail"
"Author name","Autor Name"
"Change status","Den Status ändern"
"CSV","CSV"
"Date","Das Datum"
"Delete","Entfernen"
"Details","Details"
"Email","Email"
"Email (will NOT be displayed on site)","Email (auf dem Site wird nicht dargestellt sein)"
"Email Options","Email Optionen"
"Email Sender","Email Absender"
"Email Template(sent to admin)","Email Muster (dem Administrator gesendet)"
"Email Template(sent to customer)","Email Muster (dem Kunden gesendet)"
"From","Von"
"Item does not exist","Das Erzeugnis existiert nicht"
"Item was successfully deleted","Das Erzeugnis wurde erfolgreich entfernt"
"Item was successfully saved","Das Erzeugnis wurde erfolgreich erhalten"
"Message saved but email is not sent.","Die Nachricht wurde erhalten aber e-mail wurde nicht gesendet."
"Name (will be displayed on site)","Der Name (wird auf dem Site dargestellt sein)"
"Pending products questions","Produktion Fragen werden bearbeitet"
"Please select item(s)","Bitte, wählen Sie das Erzeugnis(sse)"
"Private","Privat"
"Product","Produkt"
"Product Questions","Produktion Fragen"
"Product title","Produkt Benennung"
"Public","Öffentlich"
"Question","Die Frage"
"Question details","Die Frage Details"
"Question reply","Antwort auf die Frage"
"Question text","Die Frage Inhalt"
"Reply/Edit","Antworten/redigieren"
"Reply question %s","Auf die Frage antworten %s"
"Save","Erhalten"
"Save And Continue Edit","Erhalten und redigieren fortzusetzen"
"Save And Send Mail","Erhalten und Email senden"
"Save Question","Die Frage erhalten"
"Send Emails To","Emails senden"
"Status","Status"
"Submit question","Die Frage senden"
"Total of %d record(s) were successfully deleted","Insgesamt von %d Notizen wurden erfolgreich entfernt"
"Total of %d record(s) were successfully updated","Insgesamt von %d Notizen wurden erfolgreich erneuer"
"Unable to find item to save","Es ist unmöglich das Erzeugnis zu erhalten zu finden"
"Unable to post question. Please, try again later.","Es ist unmöglich die Frage zu veröffentlichen. Bitte, versuchen Sie später."
"Visibility","Visibilität"
"XML","XML"
"Your question has been accepted for moderation","Ihre Frage wurde zur Behandlung angenommen."
"Your reply","Ihre Antwort"
"Questions on","Questions on"
