"Action","L\'action"
"Add Item","Ajouter le produit"
"Add New Question","Ajouter une nouvelle question"
"All products questions","Toutes les questions sur la production"
"Are you sure?","Vous êtes assurés?"
"Ask Your Own Question","Ajouter la question"
"Author email","Email de l\'auteur"
"Author name","Le nom de l\'auteur"
"Change status","Changer le statut"
"CSV","CSV"
"Date","La date"
"Delete","éliminer"
"Details","Les détails"
"Email","Email"
"Email (will NOT be displayed on site)","Email (ne sera pas affiché sur le site)"
"Email Options","Les fonctions de l\'Email"
"Email Sender","Le destinateur de l\'Email"
"Email Template(sent to admin)","Email forme (est envoyé a l\'administrateur)"
"Email Template(sent to customer)","Email forme (est envoyé au client)"
"From","De"
"Item does not exist","Le produit n\'existe pas"
"Item was successfully deleted","Le produit est éliminé"
"Item was successfully saved","Le produit est conservé"
"Message saved but email is not sent.","Le message est enregistré mais email n\'est pas envoyé"
"Name (will be displayed on site)","Le nom (sera affiché sur le site)"
"Pending products questions","On comsidère les questions sur la production"
"Please select item(s)","Choisissez le produit s\'il vous plaît"
"Private","Individuel"
"Product","Le produit"
"Product Questions","Les questions sur le produit"
"Product title","Le nom du produit"
"Public","Pour tous"
"Question","La question"
"Question details","Les détails de la question"
"Question reply","La réponse sur la question"
"Question text","Le texte de la question"
"Reply/Edit","Répondre/éditer"
"Reply question %s","Répondre à la question %s"
"Save","Conserver"
"Save And Continue Edit","Conserver et continuer à éditer"
"Save And Send Mail","Conserver et evoyer l\'Email"
"Save Question","Conserver  la question"
"Send Emails To","Envoyer Email"
"Status","Le statut"
"Submit question","Envoyer une question"
"Total of %d record(s) were successfully deleted","Au total %d des enregistrements sont succèssivement éliminés"
"Total of %d record(s) were successfully updated","Au total %d des enregistrements sont succèssivement renouvelés"
"Unable to find item to save","Il est impossible de trouver le produit pour la conservation"
"Unable to post question. Please, try again later.","Il est impossible de publier la question. Tentez plus tard s\'il vous plaît."
"Visibility","La visibilité"
"XML","XML"
"Your question has been accepted for moderation","Votre question est acceptée pour la considération"
"Your reply","Votre réponse"
"Questions on","Questions on"
