"Main configuration", "Main configuration"
"<b>Important note:</b> Once the extension is installed, your clients won't get personalized recommendations until at least <b>24 hours</b> after. Read carefully the <b>documentation</b> included in the extension package.", "<b>Important note:</b> Once the extension is installed, your clients won't get personalized recommendations until at least <b>24 hours</b> after. Read carefully the <b>documentation</b> included in the extension package."
"Version", "Version"
"Current version of the extension.", "Current version of the extension."
"Enable", "Enable"
"Activate/Deactivate Blueknow Recommender.", "Activate/Deactivate Blueknow Recommender."
"Unique identifier assigned to this eCommerce.<br />Do you need one? Obtain it for free at <a href='http://www.blueknow.com?utm_source=magentocommerce.com&utm_medium=backoffice&utm_campaign=blueknow-magento-extension'>here</a>.", "Unique identifier assigned to this eCommerce.<br />Do you need one? Obtain it for free at <a href='http://www.blueknow.com?utm_source=magentocommerce.com&utm_medium=backoffice&utm_campaign=blueknow-magento-extension'>here</a>."
"Cross-sell recommendations", "Cross-sell recommendations"
"Activate/Deactivate cross-sell recommendations in product detail page.", "Activate/Deactivate cross-sell recommendations in product detail page."
"Recommendations", "Recommendations"
"Number of cross-sell recommendations to show in product detail page.", "Number of cross-sell recommendations to show in product detail page."
"Up-sell recommendations", "Up-sell recommendations"
"Activate/Deactivate up-sell recommendations in shopping cart page.", "Activate/Deactivate up-sell recommendations in shopping cart page."
"Number of up-sell recommendations to show in shopping cart page.", "Number of up-sell recommendations to show in shopping cart page."

"You may also be interested in the following products", "You may also be interested in the following products"
"Customers who bought these products also bought", "Customers who bought these products also bought"
