"Configuration", "Configuration"
"BrainSINS KEY", "BrainSINS KEY"
"Home Page Recommender", "Home Page Recommender"
"Product Page Recommender", "Product Page Recommender"
"Cart Page Recommender", "Cart Page Recommender"
"Checkout Page Recommender", "Checkout Page Recommender"
"Import Recommenders", "Import Recommenders"
"Send Catalog", "Send Catalog"
"Do not show", "Do not show"
"Edit Style", "Edit Style"
"Enabled", "Enabled"
"Disabled", "Disabled"
"Enable / Disable Extension", "Enable / Disable Extension"
"Catalog uploaded successfully", "Catalog uploaded successfully"
"Error while uploading the catalog", "Error while uploading the catalog"
"Recommenders imported sucssessfully", "Recommenders imported sucssessfully"
"Error while importing recommenders", "Error while importing recommenders"
"Abort Catalog Upload", "Abort Catalog Upload"
"Catalog upload aborted", "Catalog upload aborted"
"Uploading Clients", "Uploading Clients"
"Clients uploaded OK", "Clients uploaded OK"
"Uploading Products", "Uploading Products"
"Products uploaded OK", "Products uploaded OK"
"Uploading Carts", "Uploading Carts"
"Carts uploaded OK", "Carts uploaded OK"
"Uploading Purchases", "Uploading Purchases"
"Purchases uploaded OK", "Purchases uploaded OK"
"Error occurred while uploading Clients", "Error occurred while uploading Clients"
"Error occurred while uploading Products", "Error occurred while uploading Products"
"Error occurred while uploading Carts", "Error occurred while uploading Carts"
"Error occurred while uploading Purchases", "Error occurred while uploading Purchases"
"Catalog upload aborted", "Catalog upload aborted"
"Do not have a BrainSINS KEY?", "Do not have a BrainSINS KEY?"
"I am a BrainSINS client", "I am a BrainSINS client"
"I am not a BrainSINS client yet", "I am not a BrainSINS client yet"
"Advanced Options", "Advanced Options"
"please do not modify these values unless you are told so by BrainSINS' support team", "please do not modify these values unless you are told so by BrainSINS' support team"
"Catalog upload page size", "Catalog upload page size"
