" There was an error occurred during paying process.","在支付的过程中发生了一个错误"
"CKApps Alipay Payment","CKApps 支付宝付款"
"CKApps AlipayFastLogin","CKApps 快捷登陆接口"
"Bank","银行"
"Service Type","服务类型"
"Enabled","启用"
"English","英语"
"Error occured","发生错误"
"Key","加密号"
"New order status","新的订单号状态"
"Order status when customer paid","已支付订单状态"
"Order status when seller sent goods","已发货订单状态"
"Order status when trade finished","已完成订单状态"
"Order status when buyer want to fefund","买家要求退款订单状态"
"Order status when seller agree to refund","卖家同意退款订单状态"
"Order status when buyer sent backgoods","买家已返货订单状态"
"Order status when buyer receive backgoods","退款完成订单状态"

"Order %s","Order %s"
"Order number will be used if left empty","Order number will be used if left empty"
"Site code","网站代码"
"Sort order","选项排序"
"Spain","西班牙"
"Test mode","测试模式"
"There was an error occurred during paying process.","在支付的过程中发生了一个错误"
"Title","标题"
"Transaction Description","交易描述"
"Standard double interface","标准双接口"
"Immediately to the account","即时到账"
"Secured transaction","担保交易"
"You will be redirected to alipay website when you place an order.","下订单时，会转向支付宝网站。"
"You will be redirected to Alipay in a few seconds.","您很快将会转向支付宝网站"
"Gateway","接口地址"
"Partner ID","合作伙伴ID (即Partner ID)"
"Security Code","安全校验号"
"Seller Email","支付宝账号"
"Transport","传输协议"
"Payment from applicable countries","支付允许国家"
"CKApps Alipay Payment","CKApps 支付宝支付接口"
"Payment from Specific countries","支付指定国家"
"Alipay","支付宝"
