"Account breadcrumbs","Account breadcrumbs"
"AnaisIT Extensions","AnaisIT Extensions"
"Settings","Settings"
"Enable for all available pages","Enable for all available pages"
"Account Login Page","Account Login Page"
"Forgot Password Page","Forgot Password Page"
"Account Dashboard Page","Account Dashboard Page"
"Register Page","Register Page"
"Account Information Page","Account Information Page"
"Address Book Page","Address Book Page"
"Address Book  Page - Add/Edit Address","Address Book  Page - Add/Edit Address"
"Order History Page","Order History Page"
"Order Details Page","Order Details Page"
"Order Invoices Page","Order Invoices Page"
"Order Shipments Page","Order Shipments Page"
"Order Creditmemos Page","Order Creditmemos Page"
"Billing Agreements Page","Billing Agreements Page"
"Recurring Profile Page","Recurring Profile Page"
"Customer Reviews Page","Customer Reviews Page"
"Customer Review Details Page","Customer Review Details Page"
"Customer Tags Page","Customer Tags Page"
"Customer Tag Details Page","Customer Tag Details Page"
"My Downloadable Products Page","My Downloadable Products Page"
"Wishlist Page","Wishlist Page"
"Newsletter Subscription Page","Newsletter Subscription Page"
