"Order Monitor","Order Monitor"
"Customer Settings","Customer Settings"
"Allow Customers to Cancel New Orders","Allow Customers to Cancel New Orders"
"Allow Customers to Cancel Pending Payment Orders","Allow Customers to Cancel Pending Payment Orders"
"Select Status for Canceled Orders","Select Status for Canceled Orders"
"Cron Settings","Cron Settings"
"Cancel Pending Payment Orders","Cancel Pending Payment Orders"
"Cancel Pending Payment Orders After (minutes)","Cancel Pending Payment Orders After (minutes)"
"Your order has been canceled.","Your order has been canceled."
"Cannot cancel your order.","Cannot cancel your order."
"Canceled Status","Canceled Status"
