"pending","geplant"
"running","wird ausgeführt"
"success","Erfolg"
"missed","verpasst"
"error","Fehler"

"General", "Allgemein"

"Cron Schedule","Cronjobs"
"Noovias - Cronjobs - Schedule","Noovias - Cronjobs - Planung"
"Noovias - Cronjobs - History","Noovias - Cronjobs - Historie"
"Schedule","Planung"
"History","Historie"

"Starting In","Startet in"
"Scheduled","Geplant für"
"Executed","Ausgeführt um"
"Runtime","Laufzeit"
"Finished","Beendet um"
"Created","Erstellt um"
"Messages","Meldungen"
"Action","Aktion"
"Edit","Bearbeiten"

"Add New","Neuen Job erstellen"

"To","An"
"Copy To","Cc"

"Cronjob is long running after", "Langer Cronjob nach"
"Cronjob is hanging after", "Cronjob hängt nach"
"Time in minutes","Zeit in Minuten"

"Check Interval (e.g. "* * * * *" for every minute)","Interval (z.B. "* * * * *" für jede Minute)"

"Edit Item '%s'","Bearbeite Job '%s'"
"Add Item","Neuer Job"
"Schedule Data","Job Daten"
"Scheduled At","Geplant für"

"Schedule was successfully saved.","Cronjob wurde erfolgreich gespeichert."
"Schedule deleted","Cronjob wurde gelöscht"

"Reset","Zurücksetzen"
"Delete","Löschen"
"Save","Speichern"
"Back","Zurück"

"emailattachments_updates","Emailanhänge aktualisieren"
"currency_rates_update","Währungskurse aktualisieren"
"catalog_product_index_price_reindex_all","Katalog - Produktpreise neu indizieren"
"catalogindex_reindex_all","Katalog - Neu-Indizierung"
"catalogindex_run_queued","Katalog - Indizierung"
"catalogrule_apply_all","Katalog - Preisregeln anwenden"
"sales_clean_quotes","Verkäufe - Bereinigen gespeicherter Warenkörbe"
"aggregate_sales_report_order_data","Verkaufsbericht - Kumuliere Bestellungsbeträge"
"aggregate_sales_report_shipment_data","Verkaufsbericht - Kumuliere Lieferscheinbeträge"
"aggregate_sales_report_invoiced_data","Verkaufsbericht - Kumuliere Rechnungsbeträge"
"aggregate_sales_report_refunded_data","Verkaufsbericht - Kumuliere Gutschriftsbeträge"
"aggregate_sales_report_bestsellers_data","Verkaufsbericht - Kumuliere Bestseller Beträge"
"aggregate_sales_report_coupons_data","Verkaufsbericht - Kumuliere Gutschein Beträge"
"aggregate_sales_report_tax_data","Verkaufsbericht - Kumuliere Steuer Beträge"
"paypal_fetch_settlement_reports","Paypal - Lade Abrechnungsberichte"
"sitemap_generate", "SiteMap generieren"
"catalog_product_alert", "Katalog - Produkt Meldungen"
"newsletter_send_all", "Newsletter versenden"
"log_clean", "Logfiles bereinigen"

"noovias_cron_checkfailedjobs","Noovias Cron - Ermittle Fehlgeschlagene Cronjobs"
"noovias_cron_checkhangingjobs","Noovias Cron - Ermittle Hängende Cronjobs"
"noovias_cron_checklongjobs","Noovias Cron - Ermittle langlaufende Cronjobs"
"noovias_cron_checkmissedjobs","Noovias Cron - Ermittle verpasste Cronjobs"

"enabled","aktiviert"
"disabled","deaktiviert"
"Settings","Einstellungen"
"An Error Occured","Ein Fehler ist aufgetreten"
"The Configuration for this Cronjob has been successfully saved.","Die Konfiguration für diesen Cronjob wurde erfolgreich gespeichert."
"%s Cronjob(s) could not be enabled.","%s Cronjob(s) konnte(n) nicht aktiviert werden."
"Cronjob(s) could not be enabled.","Cronjob(s) konnte(n) nicht aktiviert werden."
"%s Cronjob(s) have been enabled.","%s Cronjob(s) wurde(n) aktiviert."
"%s Cronjob(s) could not be disabled.","%s Cronjob(s) konnte(n) nicht deaktiviert werden."
"Cronjob(s) could not be disabled.","Cronjob(s) konnte(n) nicht deaktiviert werden."
"%s Cronjob(s) have been disabled.","%s Cronjob(s) wurde(n) deaktiviert."
"Noovias - Cronjobs - Settings","Noovias - Cronjobs - Einstellungen"
"Disable","Deaktivieren"
"Enable","Aktivieren"
"Edit Cronjob: ","Cronjob bearbeiten: "
"General Settings","Grundeinstellungen"
"Created","Erstellt"
"Updated","Aktualisiert"
"Created by (User Id)","Erstellt von (User Id)"
"Updated by (User Id)","Aktualisiert von (User Id)"
"User doesn't exist anymore","Der Benutzer existiert nicht mehr"
"Cron Expression Settings","Einstellungen für die Cron Expression"
"Information about Cron Expressions","Information über Cron Expressions"
"Expert Mode","Experten-Modus"
"Minute","Minute"
