"Entry#", "Entry#"
"Created", "Created"
"Action name", "Action name"
"Controller name", "Controller name"
"Client IP", "Client IP"
"Controller module", "Controller module"
"Customer#", "Customer#"
"Action Logger", "Action Logger"
"Check logs for recorded Admin actions", "Check logs for recorded Admin actions"
"Check logs for recorded Frontend actions", "Check logs for recorded Frontend actions"
"Params#", "Params#"
"N/A", "N/A"
"Log frontend actions", "Log frontend actions"
"Log admin actions", "Log admin actions"
"Log request params", "Log request params"
"View logged request params", "View logged request params"
