"increase qty","Menge erhöhen"
"decrease qty","Menge reduzieren"
"General Settings","Allgemeine Einstellungen"
"Cart Quantity Buttons","Cart Quantity Buttons"
"Js selector","Js selector"
"Prototype.js cssRule","Prototype.js cssRule (siehe prototype.js <a href=""http://prototypejs.org/api/utility/dollar-dollar"" target=""_blank"">API-Referenz</a>)"
"Button position","Button Positionen
"0 behavior","0 Verhalten"
"Remove item from cart if quantity becomes 0 (zero)","Entferne Position aus Warenkorb wenn Menge 0 wird"
"keep","behalten"
"remove","löschen"
"Increase step","Wert um Menge zu erhöhen"
"Decrease step","Wert um Menge zu reduzieren"
"Increase step if nothing configured","Standardwert falls kein Wert global bzw. auf Produktebene definiert wurde"
"Increase step for products uses decimals","Standardwert für Produkte die Dezimal-Mengen verwenden (global bzw. auf Produktebene nicht konfigurierbar)"
