"Country","Region/State","City","Zip from","Zip to","Price >=","Price To<=","Shipping Price","Delivery Type"
"USA","*","*","*",,0,24.99,6,"Ground"
"USA","*","*","*",,25,49.99,7,"Ground"
"USA","*","*","*",,50,74.99,8,"Ground"
"USA","*","*","*",,75,99.99,9,"Ground"
"USA","*","*","*",,100,1000000,0,"Ground"
"USA","HI","*","*",,0,1000000,15,"Ground"
"USA","HI","*","*",,0,1000000,15,"Ground"
"USA","*","*","*",,0,1000000,12,"Next Day Air"
"CAN","*","*","*",,0,1000000,15,"Ground"
"*","*","*","*",,0,1000000,25,"International"
