"User","Utilisateur"
"Object","Objet"
"Clear logs","Vider les journaux"
"insert","Creation"
"update","Modification"
"delete","Suppression"
"misc","Divers"
"login","Authentification"
"Logs clear","Journaux vid&eacute;s"
"Customer %s (id %s)","Client %s (id %s)"
"Product %s (id %s)","Produit %s (id %s)"
"Category %s (id %s)","Categorie %s (id %s)"
"Tax class %s (id %s)","Classe de taxe %s (id %s)"
"Prune logs","Nettoyer"
"Logs successfully pruned","Journaux nettoy&eacute;s"
"Address for customer %s (id %s)","Adresse client %s (id %s)"
"Stock for product %s (id %s)","Stock Produit %s (id %s)"
"Customer group %s (id %s)","Groupe de client %s (id %s)"
"Product Return %s (id %s)","Retour produit %s (id %s)"
"Agreement %s (id %s)","COnditions %s (id %s)"
"Sales Order %s (id %s)","COmmande %s (id %s)"
"Catalog rule %s (id %s)","Regle de prix produit %s (id %s)"
"Sales rule %s (id %s)","Regle de prix catalogue %s (id %s)"
"Manufacturer %s (id %s)","Fabricant %s (id %s)"
"User %s (id %s)","Utilisateur %s (id %s)"
"CMS Page %s (id %s)","Page CMS %s (id %s)"
"CMS Block %s (id %s)","Block CMS %s (id %s)"
"%s change from %s to %s","%s change de %s a %s"
"insert","Creation"
"update","Modification"
"delete","Suppression"
"misc","Autres"
"login","Connexion"
"Logged in at ","Connexion le "
"User ","Utilisateur "
"Auto Prune","D&eacute;lestage auto"
"Auto Prune Delay","D&eacute;lai de d&eacute;lestage"
"Force Initial Data","Forcer les donn&eacute;es originelles"
"Advanced","Avanc&eacute;"
"Fields to ignore","Champs &agrave; ignorer"
"Object Type to Ignore","Type d'objet &agrave; ignorer"
"Force Orig Data","Forcer les donn&eacute;es originelles pour"
"Enable log","Activer les logs"
"Auto Prune delay","Delai de delestage"
