" The customer doesn't exist in the system anymore"," 该客户已不存在"
" and "," 以及 "
"%s cache type(s) disabled.","%s 项缓存已禁用."
"%s cache type(s) enabled.","%s 项缓存已启用."
"%s cache type(s) refreshed.","%s 项缓存已刷新."
"%s index was rebuilt successfully.","%s 索引重建成功"
"(Absolute path or Relative to Magento install root, ex. var/export)","(绝对路径或者相对于安装根目录，例如 var/export)"
"(For US 2-letter state names)","(2个字母的省份名(适用于美国))"
"(If left empty will be auto-generated)","(如果留空将自动生成)"
"(Leave empty for first spreadsheet)","(留空为第一个电子表)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(如果导入文件中'商店'栏目为空或者缺少，商品将被增加/更新到该商店。)"
"(Shift-)Click or drag to change value","(Shift-)单击或者拖动以变更取值"
"(Starting with)","(开头)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(为'否'时，仅导入映射字段。当映射时，用'column1'、'column2'等。)"
"(You have to increase php memory_limit before changing this value)","（编辑该值之前您必须先增加 php 的 memory_limit 设置值）"
"(\t for tab)","(t 为制表符)"
"* - If indexing is in progress, it will be killed and new indexing process will start","* - 将终止已有的索引进程并启动新的索引进程。"
"- Click on any of the time parts to increase it","- 点击时间任意部分可以使其递增"
"- Hold mouse button on any of the above buttons for faster selection.","- 在上述按钮上长按鼠标以快速选择"
"- Use the %s buttons to select month","- 使用 %s 按钮选择月份"
"- Use the %s, %s buttons to select year","- 使用 %s, %s 按钮选择年份"
"- or Shift-click to decrease it","- 或者按住 Shift 并点击使其递减"
"- or click and drag for faster selection.","- 或者点击并拖动以快速选择。"
"-- Please Select --","-- 请选择 --"
"-- Please select --","-- 请选择 --"
"-- Please select a category --","-- 请选择分类 --"
"--Please Select--","--请选择--"
"1 Hour","1 小时"
"12 Hours","12 小时"
"12h AM/PM","12h AM/PM"
"2 Hours","2 小时"
"24 Hours","24 小时"
"24h","24h"
"2YTD","去年开始"
"6 Hours","6 小时"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 错误</h1><p>没找到页面。</p>"
"<h1 class=""page-heading"">Access denied</h1><p>Access denied.</p>","<h1 class=""page-heading"">访问被拒绝</h1><p>访问被拒绝。</p>"
"A new password was sent to your email address. Please check your email and click Back to Login.","一个新的密码已经发送到您的电子邮件。请查收您的电子邮件然后回到登陆页面"
"API Stability","API 稳定性"
"API Version","API 版本"
"API:","API:"
"About the calendar","关于本日历"
"Access Denied.","访问被拒绝。"
"Access Deny","拒绝访问"
"Account Created in:","帐号创建于："
"Account Created on (%s):","帐号创建于 (%s):"
"Account Created on:","帐号创建日期："
"Account Information","帐号信息"
"Account status","帐号状态"
"Account successfully saved","成功保存帐号"
"Action","操作"
"Actions XML","操作 XML"
"Actions","操作"
"Active","激活"
"Add Contents Path","添加内容路径"
"Add Exception","添加例外"
"Add Field Mapping","添加字段映射"
"Add Field with URL:","增加网址栏："
"Add Maintainer","添加维护人员"
"Add New Image","增加新的图像"
"Add New Profile","增加新的概要档案"
"Add New Role","增加新的角色"
"Add New Template","增加新的模板"
"Add New Urlrewrite","增加新的网址重写"
"Add New User","增加新用户"
"Add New osCommerce Profile","增加新的osCommerce概要档案"
"Add PHP Extension dependency","添加 PHP扩展依赖"
"Add Package dependency","添加安装包依赖"
"Add Subpackage dependency","添加子安装包依赖"
"Add URL Rewrite","添加网址重写"
"Add URL Rewrite for a Category","添加分类网址重写"
"Add URL Rewrite for a Product","添加商品网址重写"
"Add Urlrewrite for a Category","添加分类网址重写"
"Add Urlrewrite for a Product","添加商品网址重写"
"Add Urlrewrite","添加网址重写"
"Add after","在此后添加"
"Add new Role","增加新的角色"
"Add new store view map","添加新的商店视图地图"
"Add new website map","添加新的网站地图"
"Add","增加"
"Additional Cache Management","附加缓存管理"
"Address Type:","地址类型："
"Admin","管理员"
"Advanced Admin Section","高级管理员单元"
"Advanced Profiles","高级概要档案"
"Advanced Section","高级单元"
"Aggregate Order","累计订单"
"All Allowed Countries","所有允许国家"
"All Cache","所有缓存"
"All Files","所有文件"
"All Store Views","所有商店视图"
"All Tags","所有标签"
"All Websites","所有网站"
"All countries","所有国家"
"All fields","所有栏目"
"All possible rates were fetched, click on ""Save"" to apply","已获取所有可能的汇率，点击""保存""接受"
"All rates were fetched, click on ""Save"" to apply","已获取所有汇率，点击""保存""接受"
"All valid rates successfully saved","成功保存所有有效的汇率"
"All","所有"
"Amounts","金额"
"Any Attribute Set","任意属性集"
"Any Group","任意分组"
"Any Status","任意状态"
"Any Store","任意商店"
"Any Type","任意类型"
"Any Visibility","任意可见性"
"Any","任意"
"Api Key Confirmation","Api 密钥确认"
"Api Key","Api 密钥"
"Archive file name:","存档文件名："
"Are you sure that you want to delete this template?","您确认要删除该模板吗？"
"Are you sure that you want to strip tags?","您确认要删除标签吗？"
"Are you sure you want to do this?","您确认要这么做吗？"
"Are you sure you wish to INSTALL all selected packages?","您确认要安装所有选择的包吗？"
"Are you sure you wish to UNINSTALL all selected packages?","您确认要卸载所有选择的包吗？"
"Are you sure you wish to UPGRADE all selected packages?","您确认要升级所有选择的包吗？"
"Area","区域"
"Assigned","指定"
"Associated Tags","关联标志"
"Attribute Set Name:","属性集名称："
"Attribute set successfully saved.","成功保存属性集。"
"Attribute set was successfully removed.","成功删除属性集。"
"Attributes","属性"
"Available Products","可用商品"
"Available Version","可用版本"
"Average Order Amount","平均订单金额"
"Average Orders","平均订单金额"
"Back to Login","返回登录"
"Back to local packages","返回本地包"
"Back","返回"
"Backup record was deleted","备份记录已删除"
"Backup successfully created","成功备份"
"Backup","备份"
"Backups","备份"
"Base currency","基准货币"
"Bcc","暗送"
"Bestsellers","畅销商品"
"Big Image","大图片"
"Billing Address","账单地址"
"Billing address","账单地址"
"Block Information","方框信息"
"Both (without and with tax)","同时 (无论是否含税)"
"Browse Available Extensions","浏览可用插件"
"Browse Available Remote Extensions","浏览可用的远程插件"
"Browse Files...","浏览文件..."
"Bundle Items","包裹物品"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","具有动态价格的包裹不能含有自定选项。选项设置不会被保存。"
"CRITICAL","重要"
"CSV / Tab separated","CSV/Tab 分割"
"CSV","CSV"
"Cache Control (beta)","缓存管理 (beta)"
"Cache Control","缓存管理"
"Cache Management","缓存管理"
"Cache Storage Management","高速缓存管理"
"Cache Type","缓存类型"
"Can not add new comment.","无法添加新评论"
"Can not add tracking number.","无法添加新运单号"
"Can not delete tracking number.","无法删除运单号"
"Can not do credit memo for order","无法为此订单创建贷项凭证"
"Can not do invoice for order","无法为此订单做单据"
"Can not do shipment for order.","无法为此订单做运输"
"Can not initialize shipment for adding tracking number.","无法为增加订单号生成运输"
"Can not initialize shipment for delete tracking number.","无法为删除订单号生成运输"
"Can not load track with retrieving identifier.","无法使用获得的标志符加载跟踪记录"
"Can not retrieve tracking number detail.","无法获取订单号详细资料"
"Can not save credit memo","无法保存贷项凭证"
"Can not save invoice","无法保存单据"
"Can not save shipment.","无法保存运输"
"Can not send shipment information.","无法发送运输资料"
"Can not update item qty","无法更新物品数量"
"Can't delete design change","无法删除设计编辑"
"Can't find email address.","没有找到邮件地址。"
"Can\'t initialize indexer process.","无法初始化索引进程."
"Cancel","取消"
"Card Verification Number","信用卡校验码"
"Catalog Rewrites was refreshed successfully","成功刷新目录重写记录"
"Catalog Rewrites were refreshed successfully","成功刷新目录重写记录"
"Catalog Rewrites","目录重写"
"Catalog Search Index","目录搜索索引"
"Catalog Url Rewrites","目录Url重写"
"Catalog","目录"
"CatalogInventory Stock Status rebuild error. Please try again later","CatalogInventory Stock Status rebuild error. Please try again later"
"CatalogInventory Stock Status was rebuilt successfully","CatalogInventory Stock Status was rebuilt successfully"
"Category Flat Data","目录平面数据"
"Category","分类"
"Category:","分类："
"Changelog","编辑日志"
"Channel","频道"
"Channel:","频道："
"Checkbox","复选框"
"Choose Store View","查看商店视图"
"Choose an attribute","选择属性"
"Clear","清除"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","到<a href=""%s"">缓存管理</a>刷新缓存类型."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","前往<a href=""%s"">索引管理</a>重建索引."
"Close","关闭"
"Comment text field can not be empty.","评论框不能为空白"
"Comments History","评论记录"
"Complete","完成"
"Configuration successfully saved","成功保存设置"
"Configuration","设置"
"Confirmed email:","已验证的邮件："
"Conflicts","冲突"
"Connect with the Magento Community","连接社区"
"Contents","内容"
"Convert to Plain Text","转换为文字"
"Cookie (Unsafe)","Cookie (不安全)"
"Country","国家"
"Country:","国家："
"Coupon Code","优惠券代码"
"Coupons","优惠价"
"Create DB Backup","创建数据库备份"
"Create Extension Package","创建插件包"
"Create New Attribute","创建新的属性"
"Create New Staging Store View","创建新的演练商店视图"
"Create Urlrewrite:","创建网址重写"
"Create a backup","创建备份"
"Create","创建"
"Created <strong>%s</strong> items","已创建 <strong>%s</strong> 条"
"Created At","创建于"
"Credit Card Number","信用卡号"
"Credit Card Number: xxxx-%s","信用卡号：xxxx-%s"
"Credit Card Type","信用卡类型"
"Credit Card Type: %s","信用卡类型：%s"
"Credit Memo #%s comment added","贷项凭证 #%s 备注已添加"
"Credit Memo #%s created","贷项凭证 #%s 已创建"
"Credit Memo History","贷项凭证历史"
"Credit Memo Totals","贷项凭证总计"
"Credit Memo cancel error.","贷项凭证取消有误"
"Credit Memo total must be positive.","贷项凭证总额必须为正数"
"Credit Memo void error","将贷项凭证作废有误"
"Credit Memo was successfully canceled.","成功取消贷项凭证"
"Credit Memo was successfully created","成功创建贷项凭证"
"Credit Memo was successfully voided","成功将贷项凭证作废"
"Credit Memo...","贷项凭证"
"Currency Information","货币信息"
"Currency Setup Section","货币设置单元"
"Currency","货币"
"Current Configuration Scope:","当前设置范围："
"Current Release Information","当前版本信息"
"Custom Variables","定制变量"
"Custom","定制"
"Customer Group:","客户分组："
"Customer Name","客户姓名"
"Customer Since:","注册日期："
"Customer was deleted","客户已删除"
"Customer was successfully saved","成功保存客户"
"Customer with the same email already exists.","已有相同邮件地址的客户。"
"Customer","客户"
"Customers","客户"
"DHTML Date/Time Selector","动态 HTML 日期/时间选择器"
"Dashboard","控制台"
"Data Format","数据格式"
"Data transfer:","数据传送："
"Date & Time","Date & Time"
"Date Added","增加日期"
"Date Updated","更新日期"
"Date selection:","日期选择："
"Date selector","选择日期"
"Date","Date"
"Date:","日期："
"Day","Day"
"Decimal separator:","小数分割符"
"Default (Admin) Values","缺省(管理)值"
"Default Config","缺省设置"
"Default Template from Locale","界面的缺省模版"
"Default Values","缺省值"
"Default display currency ""%s"" is not available in allowed currencies","默认显示货币 ""%s"" 不在允许货币列表中"
"Default scope","缺省范围"
"Delete %s '%s'","删除 %s '%s'"
"Delete %s","删除 %s"
"Delete Profile","删除概要档案"
"Delete Role","删除角色"
"Delete Store View","删除商店视图"
"Delete Template","删除模板"
"Delete User","删除用户"
"Delete Website","删除网站"
"Delete","删除"
"Dependencies","依赖关系"
"Description","简介"
"Description:","简介："
"Design Section","设计单元"
"Design change deleted","设计编辑已删除"
"Design change saved","设计编辑已保存"
"Design","设计"
"Developer Section","程序员单元"
"Direction:","方向："
"Disable","禁用"
"Disabled","禁用"
"Discount Amount","优惠金额"
"Display %s first","将 %s 显示在第一列"
"Display default currency","显示缺省货币"
"Display Settings","显示设置"
"Distributed under GNU LGPL. See %s for details.","使用 GNU LGPL 分发，详情请访问 %s ."
"Do you really want to KILL parallel process and start new indexing process?","您真的要终止并发进程并启动新的索引进程吗？"
"Done By:","完成于："
"Done by:","完成于："
"Download Remote File","下载远程文件"
"Download and Install","下载并安装"
"Downloading and installing $pkg, please wait...","正在下载和安装$pkg，请稍候..."
"Drag to move","窗口可拖动"
"Drop-down","下拉"
"Edit Email Template","编辑邮件模板"
"Edit Poll","编辑投票"
"Edit Role","编辑角色"
"Edit Store View","编辑商店视图"
"Edit System Template","编辑系统模板"
"Edit Tag","编辑标签"
"Edit Template","编辑模板"
"Edit Urlrewrite","编辑网址重写"
"Edit URL Rewrite","编辑网址重写"
"Edit User '%s'","编辑用户'%s'"
"Edit User","编辑用户"
"Edit Website","编辑网址"
"Edit","编辑"
"Email Address:","电子邮件："
"Email Preview","预览电子邮件"
"Email address is empty.","电子邮件地址为空。"
"Email to a Friend","发邮件给朋友"
"Email","电子邮件"
"Email:","电子邮件："
"Enable","启用"
"Enabled","启用"
"Enclose Values In:","包括值："
"Entity Type","实体类型"
"Entity type:","实体类型："
"Error uploading the file","上传文件错误"
"Error while cleared Image cache. Please try again later","生成图像缓存出错，请稍后再试。"
"Error while create backup. Please try again later","生成备份出错，请稍后再试。"
"Error while deleting this role. Please try again later.","删除角色错误，请稍后再试。"
"Error while deleting this set.","删除出错。"
"Error while finished process. Please refresh cache","完成处理出错，请刷新缓存。"
"Error while refreshed Catalog Rewrites. Please try again later","刷新目录重写出错，请稍后再试。"
"Error while refreshed Layered Navigation Indices. Please try again later","刷新层次导航索引出错，请稍后再试。"
"Error while saving account. Please check all required fields","Error while saving account. Please check all required fields"
"Error while saving account. Please try again later","保存帐户出错，请稍后再试"
"Error while saving this configuration: ","保存设置出错："
"Error while saving this role. Please try again later.","保存角色出错，请稍后再试."
"Error while updating selected review(s). Please try again later.","更新选择的评论出错，请稍后再试."
"Excl. Tax","不含税"
