"%s Index process is working now. Please try run this process later.","%s Index process is working now. Please try run this process later."
"%s index was rebuilt.","%s index was rebuilt."
"'%s' Index Process Information","'%s' Index Process Information"
"Action","Action"
"Cannot initialize the indexer process.","Cannot initialize the indexer process."
"Change Index Mode","Change Index Mode"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes."
"Description","Description"
"Disable","禁用"
"Enable","启用"
"General","General"
"Index","索引"
"Index Description","索引描述"
"Index Management","索引管理"
"Index Mode","索引方式"
"Index Name","索引名"
"Index mode","索引方式"
"Indexer code is not defined.","Indexer code is not defined."
"Indexer model is not defined.","Indexer model is not defined."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","Indexer model should extend Mage_Index_Model_Indexer_Abstract."
"Last Run","最后运行"
"Manual Update","手动更新"
"Mode","方式"
"Never","从不"
"One or more of the Indexes are not up to date:","One or more of the Indexes are not up to date:"
"Pending Events","Pending Events"
"Please select Index(es)","Please select Index(es)"
"Please select Indexes","Please select Indexes"
"Process Information","Process Information"
"Processing","Processing"
"Ready","Ready"
"Refresh","刷新"
"Reindex Data","Reindex Data"
"Reindex Required","Reindex Required"
"Status","状态"
"System","系统"
"The index has been saved.","The index has been saved."
"There was a problem with reindexing process.","There was a problem with reindexing process."
"There was a problem with saving process.","There was a problem with saving process."
"Total of %d index(es) have changed index mode.","Total of %d index(es) have changed index mode."
"Total of %d index(es) have reindexed data.","Total of %d index(es) have reindexed data."
"Update on Save","Update on Save"
