"Action","Action"
"Advanced Search","Advanced Search"
"Advanced Search","Advanced Search"
"All Advanced Search indexes are invalidated now. Reindex it and start searchd daemon.","All Advanced Search indexes are invalidated now. Reindex it and start searchd daemon."
"Attribute","Attribute"
"Attributes","Attributes"
"AW Blog","AW Blog"
"AW KBase","AW KBase"
"Can't use attribute "%s"","Can't use attribute "%s""
"Catalog","Catalog"
"Category Name","Category Name"
"CMS Pages","CMS Pages"
"Content","Content"
"Couldn't load index by given ID","Couldn't load index by given ID"
"Current state:","Current state:"
"Disabled","Disabled"
"Edit Index","Edit Index"
"Enable","Enable"
"Enabled","Enabled"
"Full Reindex","Full Reindex"
"General","General"
"General","General"
"Go to Home Page","Go to Home Page"
"Home","Home"
"hours","hours"
"ID","ID"
"Index has been succesfully saved","Index has been succesfully saved"
"Index has been successfully deleted","Index has been successfully deleted"
"Index has been successfully rebuilt","Index has been successfully rebuilt"
"Index should contain at least that one attribute","Index should contain at least that one attribute"
"Index should not contain same attributes","Index should not contain same attributes"
"Index with the same type has been already created for at least that one of selected stores","Index with the same type has been already created for at least that one of selected stores"
"Indexes","Indexes"
"Invalid indexer","Invalid indexer"
"Last updated","Last updated"
"Manage Catalog Index","Manage Catalog Index"
"Manage Catalog Indexes","Manage Catalog Indexes"
"Manage Indexes","Manage Indexes"
"Manage searchd daemon","Manage searchd daemon"
"Minimum Search query length is %s","Minimum Search query length is %s"
"Never","Never"
"New Index","New Index"
"Not Indexed","Not Indexed"
"Other Results","Other Results"
"Read More","Read More"
"Ready","Ready"
"Reindex Required","Reindex Required"
"Reindex","Reindex"
"Relevance","Relevance"
"Save And Reindex","Save And Reindex"
"Search results for: '%s'","Search results for: '%s'"
"Server Address","Server Address"
"Server Port","Server Port"
"Settings","Settings"
"Short content","Short content"
"Some error occurs on rebuilding index","Some error occurs on rebuilding index"
"Some error occurs","Some error occurs"
"Some error occurs. Please, retry type selection.","Some error occurs. Please, retry type selection."
"Sphinx","Sphinx"
"Start searchd","Start searchd"
"State","State"
"Status field is required","Status field is required"
"Status","Status"
"Stop searchd","Stop searchd"
"Store View","Store View"
"Tags","Tags"
"There is no items matching the selection","There is no items matching the selection"
"Title","Title"
"Type field is required","Type field is required"
"Type","Type"
"Weight","Weight"
"Test connection","Test connection"
"Connection failed","Connection failed"
"Connection successful","Connection successful"
