Product Points,Product Points
Shopping Points,Shopping Points
Friends Referral,Friends Referral
You must Log In for use the Shopping points,You must Log In for use the Shopping points
Total Cart Points,Total Cart Points
Your Total Points,Your Total Points
Your Points Balance,Your Points Balance
To get a discount you need at least %d points.,To get a discount you need at least %d points.
Please Select the quantity of points you want to use.,Please Select the quantity of points you want to use.
Maximum ammount of points allowed for this order,Maximum ammount of points allowed for this order
Please imput the quantity of points you want to use.,Please imput the quantity of points you want to use.
Apply Points,Apply Points
Remove Points,Remove Points
%d points,%d Points
You are currently using all your available points!,You are currently using all your available points!
You are currently using %d points,You are currently using %d points
Points Details,Points Details
Your Available Points,Your Available Points
Total Accumulated Points,Total Accumulated Points
Total Points Spent,Total Points Spent
Points waiting for validation,Points waiting for validation
Your Shopping Points History,Your Shopping Points History
Type of point,Type of point
Points added,Points added
Points used,Points used
Obtention date,Obtention date
Valid until,Valid until
You dont have any recorded points.,You dont have any recorded points.
Points Information,Points Information
For any first valid order placed by a referred friend you will earn: <strong>%s points!</strong>,For any first valid order placed by a referred friend you will earn: <strong>%s points!</strong>
For any first valid order placed by a referred friend he will earn: <strong>%s extra points!</strong>,For any first valid order placed by a referred friend he will earn: <strong>%s extra points!</strong>
Your Permanent Link,Your Permanent Link
Share the following link with your friends,Share the following link with your friends
Share Referring link,Share Referring link
Title,Title
Great deals here!,Great deals here!
Comment,Comment
Visit this for great deals!,Visit this for great deals!
Refer a Friend,Refer a Friend
Your Referal History,Your Referal History
Full Name,Full Name
Email,Email
Registered,Registered
First Order,First Order
You did not made any friends referral yet.,You did not made any friends referral yet.
