Product Points,Puntos de productos
Shopping Points,Puntos de Compra
Friends Referral,Referencia Amigos
You must Log In for use the Shopping points,Usted debe registrarse para utilizar los puntos de Compras
Total Cart Points,Total de puntos de compra
Your Total Points,Su total de puntos
Your Points Balance,Su saldo de puntos
To get a discount you need at least %d points.,Para obtener un descuento que se necesitan al menos %d puntos.
Please Select the quantity of points you want to use.,Seleccione la cantidad de puntos que desea utilizar.
Maximum amount of points allowed for this order,La cantidad máxima de puntos permitidos para este orden
Please input the quantity of points you want to use.,Por favor ingrese la cantidad de puntos que desea utilizar.
Apply Points,Aplicar Puntos
Remove Points,Eliminar Puntos
%d points,%d Puntos
You are currently using all your available points!,En este momento está usando todos los puntos disponibles!
You are currently using %d points,En este momento está usando %d puntos
Points Details,Información Puntos
Your Available Points,Sus puntos disponibles
Total Accumulated Points,Total de puntos acumulados
Total Points Spent,Total de puntos gastado
Points waiting for validation,Puntos en espera de validación
Your Shopping Points History,Su cesta de Puntos Historia
Type of point,Tipo de punto
Points added,Puntos Añadido
Points used,Puntos Utilizados
Obtention date,Obtención Fecha
Valid until,Válido hasta el
You dont have any recorded points.,Usted no tiene ningún récord de puntos.
Points Information,Puntos de Información
For any first valid order placed by a referred friend you will earn: <strong>%s points</strong>,Para cualquier primer orden válida por un amigo que se refiere usted ganará: <strong>%s Puntos!</strong>
For any first valid order placed by a referred friend he will earn: <strong>%s extra points!</strong>,Para cualquier primer orden válida por cada amigo referido que él ganará: <strong>%s puntos extra!</strong>
Your Permanent Link,Su enlace Permanente
Share the following link with your friends,Comparta el siguiente enlace con tus amigos
Share Referring link,Compartir enlace de referencia
Title,Título
Great deals here!,Grandes ofertas aquí!
Comment,comentario
Visit this for great deals!,Visite este para las mejores ofertas!
Refer a Friend,Refiere a un Amigo
Your Referral History,Su Referencia de Historia
Full Name,Nombre Completo
Email,Email
Registered,Registrado
First Order,Primera Orden
You did not made any friends referral yet.,Usted no hizo ninguna referencia amigo.


--- ERRORS ---


Not enough points available.,No hay suficientes puntos disponibles.
The minimum required points is not reached,Los puntos mínimos requeridos no se alcanza
Amount of points wrongly used,Cantidad de puntos mal utilizados
yes,sí
no,no
Please enter a valid email address,Por favor introduzca una dirección válida de correo electrónico
Please enter your friend name,Por favor ingrese su nombre de un amigo
This email has been already submitted,Este correo electrónico ha sido ya presentada
There was a problem with the invitation,Hubo un problema con la invitación
This email was successfully invited,Este correo electrónico fue invitado con éxito


--- BACK END ---


Statistics,Statistics
Award Points,Award Points
Customer full name,Customer full name
Customer email,Customer email
Add New,Add New
Action Type,Action Type
Rule Title,Rule Title
Type of action,Type of action
Check Order Points,Check Order Points
Refresh customer points,Refresh customer points
Defaults,Defaults


--- ADDITIONAL BACK END ---

Customer Points,Customer Points
Points Configuration (Powered by Arcanum Dev.),Points Configuration (Powered by Arcanum Dev.)
General,General
Extension Release,Extension Release
About Us,About Us
Factor Money to Point,Factor Money to Point
Points gathered for 1 unit of money spent. (e.g. if set to 0.01, the client will obtain 1 point for each 100yen spent. If set to 1 the client will obtain 1 point for each yen spent).,Points gathered for 1 unit of money spent. (e.g. if set to 0.01, the client will obtain 1 point for each 100yen spent. If set to 1 the client will obtain 1 point for each yen spent).
Factor Point to Money,Factor Point to Money
Amount of points required to obtain a discount.(e.g. if set to 1, 1 point will equal to 1 yen discount. If set to 10, 10 point will equal to 1 yen discount),Amount of points required to obtain a discount.(e.g. if set to 1, 1 point will equal to 1 yen discount. If set to 10, 10 point will equal to 1 yen discount)
Points Expiration,Points Expiration
Points expiration days (use 0 for unlimited).,Points expiration days (use 0 for unlimited).
Maximum points collected per order,Maximum points collected per order
Maximum amount of points that can be collected per order (use 0 for unlimited).,Maximum amount of points that can be collected per order (use 0 for unlimited).
Maximum points used per order,Maximum points used per order
Maximum amount of points that can be used per order (use 0 for unlimited).,Maximum amount of points that can be used per order (use 0 for unlimited).
Minimum Subtotal,Minimum Subtotal
Minimum Subtotal value in which the points cannot be applied (if set to 0 the system will allow to apply points until reaching a subtotal of 0),Minimum Subtotal value in which the points cannot be applied (if set to 0 the system will allow to apply points until reaching a subtotal of 0)
Automatic use of points,Automatic use of points
The maximum amount of point for the cart will be apply to the order automatically.,The maximum amount of point for the cart will be apply to the order automatically.
Apply points by step,Apply points by step
Apply the points using a step by step method (Dropdown box),Apply the points using a step by step method (Dropdown box)
Step value,Step value
The amount of money for each step. e.g. 100, 200, 500, etc.,The amount of money for each step. e.g. 100, 200, 500, etc.
Use max amount of points,Use max amount of points
Apply the maximum amount of point to the order,Apply the maximum amount of point to the order
Calculation Method,Calculation Method
Type of Calculation method which will be used when converting money to points,Type of Calculation method which will be used when converting money to points
Disable Coupon codes,Disable Coupon codes
If enabled, the customers will not be able to use coupon codes and award points at the same time within an order.,If enabled, the customers will not be able to use coupon codes and award points at the same time within an order.
Use store scope,Use store scope
If enabled, the points collected will be available only for the same store in which the points were earned.,If enabled, the points collected will be available only for the same store in which the points were earned.
Registration and Referral Points,Registration and Referral Points
Registration Points,Registration Points
Amount of points earned upon customer registration.,Amount of points earned upon customer registration.
Review Points,Review Points
Amount of points the customer will earn when his review is approved.,Amount of points the customer will earn when his review is approved.
Enable Referral Points,Enable Referral Points
Enable the Referral Points System on user account Navigation Panel,Enable the Referral Points System on user account Navigation Panel
Referral Points,Referral Points
Amount of points earned by the customer for a referred friend orders.,Amount of points earned by the customer for a referred friend orders.
Referral child Points,Referral child Points
Amount of points earned by referred friend for their first order.,Amount of points earned by referred friend for their first order.
Show referral permanent link,Show referral permanent link
This will allow customers to share permanently their permanent link to refer friends.
Share with addthis,Share with addthis
Allow the customers to share their permanent link using addthis.,Allow the customers to share their permanent link using addthis.
addthis account name,addthis account name
Store Owner addthis account name. Visit addthis.com to create an account.,Store Owner addthis account name. Visit addthis.com to create an account.
Select email template (Referral subscribe),Select email template (Referral subscribe)
