"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email."
"Login and password are required","Login and password are required"
"Coupon code ""%s"" was applied successfully.","Coupon code ""%s"" was applied successfully."
"Coupon code ""%s"" is not valid.","Coupon code ""%s"" is not valid."
"Coupon code was canceled successfully.","Coupon code was canceled successfully."
"Please agree to all Terms and Conditions before placing the order.","Please agree to all Terms and Conditions before placing the order."
"Billing address error","Billing address error"
"Shipping address error","Shipping address error"
"There was an error processing your order. Please contact us or try again later.","There was an error processing your order. Please contact us or try again later."
"Please select a static block ...","Please select a static block ..."
"Invalid data.","Invalid data."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address.","There is already a customer registered using this email address. Please login using this email address or enter a different email address."
"Invalid shipping address.","Invalid shipping address."
"Invalid email address ""%s""","Invalid email address ""%s"""
"Billing Address","Billing Address"
"First Name","First Name"
"Email Address","Email Address"
"Last Name","Last Name"
"Street line","Street line"
"Country","Country"
"State/Province","State/Province"
"Please select region"," state or province","Please select region"," state or province"
"Telephone","Telephone"
"Zip/Postal Code","Zip/Postal Code"
"Fax","Fax"
"City","City"
"Company","Company"
"Password","Password"
"Confirm Password","Confirm Password"
"Create Account","Create Account"
"Forgot Your Password?","Forgot Your Password?"
"Cancel","Cancel"
"loading please wait...","loading please wait..."
"Login","Login"
"Subscribe to newsletter","Subscribe to newsletter"
"Place Order","Place Order"
"Discount Codes","Discount Codes"
"Enter your coupon code if you have one.","Enter your coupon code if you have one."
"Apply Coupon","Apply Coupon"
"Cancel Coupon","Cancel Coupon"
"Close","Close"
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Payment method","Payment method"
"Order Review","Order Review"
"Product Name","Product Name"
"Price","Price"
"Qty","Qty"
"Subtotal","Subtotal"
"Shipping Address","Shipping Address"
"Shipping method","Shipping method"
"Same as Billing Address","Same as Billing Address"
"Already registered? Click here to login.","Already registered? Click here to login."
"Tax/VAT number","Tax/VAT number"
"Please select region"," state or province","Please select region"," state or province"
"Grand Total","Grand Total"
