"epoq Recommendation Service", "epoq Recommendation Service"
"General Settings", "Allgemeine Einstellungen"
"Timeout", "Zeitüberschreitung"
"New Version %s ready for Download", "Neue Version %s fertig zum Download"
"Demo mode", "Demo Modus"
"Send Customer Profiles", "Kundeninformationen senden"
"%d Second", "%d Sekunde"
"%d Seconds", "%d Sekunden"
"Display Recommendations", "Empfehlungen anzeigen"
"Cart", "Warenkorb"
"Product View", "Artikelansicht"
"My Account", "Mein Konto"
"Error Handling", "Fehlerbehandlung"
"Enabled", "Aktiviert"
"Max Attempts", "Max. Versuche",
"Idle time", "Wartezeit"
"%d Minutes", "%d Minuten",
"%d Hour", "%d Stunde",
"%d Hours", "%d Stunden",
"Export Settings", "Export Einstellungen"
"Password", "Passwort"
"Up to date", "Aktuell"
