"MSG Module","SMS Module"
"Settings","Nastavitve"
"Provider","Operater"
"From number","Številka pošiljatelja"
"Send SMS on place order","Pošlji SMS, ko kupec potrdi naročilo"
"Send SMS on invoice sent","Pošlji SMS, ko je račun poslan"
"Send SMS on order cancled","Pošlji SMS, ko je naročilo preklicano"
"Use sender ID","Uporabi ID pošiljatelja"
"Sender ID","ID pošiljatelja"
"Username","Uporabniško ime"
"Password","Geslo"
"Report MSG errors on mail","SMS napake sporoči na email"
"Send SMS on place order text","Vsebina SMS-a, ki se pošlje, ko kupec potrdi naročilo"
"Send SMS on invoice sent text","Vsebina SMS-a, ki se pošlje, ko ustvarite račun"
"Send SMS on order cancled text","Vsebina SMS-a, ki se pošlje, ko prekličete naročilo"
