%d Recharge Code(s) was successfully generated,%d Recharge Code(s) was successfully generated
A negative value subtracts from the credit balance,A negative value subtracts from the credit balance
Action,Action
Action Log,Action Log
Activity Log,Activity Log
Add to Cart,Add to Cart
Added/Deducted,Added/Deducted
Adjust Credit,Adjust Credit
Alphabetical,Alphabetical
Alphanumeric,Alphanumeric
Apply Credit to,Apply Credit to
Available credit amount is %s.,Available credit amount is %s.
By Customer #%s,By Customer #%s
By Recharge Code %s,By Recharge Code %s
Canceled,Canceled
Character Group Length,Character Group Length
Character Group Separator,Character Group Separator
Code,Code
Code Format,Code Format
Code Length,Code Length
Code was successfully deleted,Code was successfully deleted
Comment,Comment
Create Product,Create Product
Created,Created
Credit,Credit
Credit activity is empty.,Credit activity is empty.
Credit Amount,Credit Amount
Credit Balance,Credit Balance
"Credit Balance was refilled with %s successfully using Recharge Code ""%s"".","Credit Balance was refilled with %s successfully using Recharge Code ""%s""."
Credit Memo Return in Credits,Credit Memo Return in Credits
"""Credit Memo Return in Credits"" value cannot exceed %s.","""Credit Memo Return in Credits"" value cannot exceed %s."
Credit Product,Credit Product
Credit product was successfully created.,Credit product was successfully created.
Credit Rule,Credit Rule
"Credit Rule ""%s"" In Order #%s","Credit Rule ""%s"" In Order #%s"
Credit Rule(s) In Order #%s,Credit Rule(s) In Order #%s
Credit Rule(s) Order #%s; \nCredit Memo #%s,Credit Rule(s) Order #%s; \nCredit Memo #%s
Credit Value,Credit Value
Creditmemo not set.,Creditmemo not set.
Current Balance,Current Balance
Customer Credit,Customer Credit
Customer Credit - General Settings,Customer Credit - General Settings
Customer Credit - Recharge Codes Settings,Customer Credit - Recharge Codes Settings
Customer credit hasn't assigned.,Customer credit hasn't assigned.
Customer Credit should be enabled,Customer Credit should be enabled
Customer ID is not set,Customer ID is not set
Date Expire,Date Expire
Date Start,Date Start
Default Qty of Credit Units,Default Qty of Credit Units
Details,Details
Don't use credit,Don't use credit
Edit Product,Edit Product
Edit Recharge Code: %s,Edit Recharge Code: %s
"Enable Credit Columns in ""Order View"" Tabs","Enable Credit Columns in ""Order View"" Tabs"
Enable Credit Memo Return in Credits,Enable Credit Memo Return in Credits
Enable Customer Balance Column in Customers Grid,Enable Customer Balance Column in Customers Grid
Enable Customer Credit,Enable Customer Credit
Enable Partial Credit Payment,Enable Partial Credit Payment
Enable Recharge Codes,Enable Recharge Codes
End Date should be greater than Start Date,End Date should be greater than Start Date
Enter Recharge Code to Refill the Balance:,Enter Recharge Code to Refill the Balance:
Error occur while refilling the credit.,Error occur while refilling the credit.
"excluding separators, prefix and suffix","excluding separators, prefix and suffix"
Failed to create credit product.,Failed to create credit product.
From Date,From Date
Generate,Generate
Generate New Recharge Codes,Generate New Recharge Codes
Generate Recharge Codes,Generate Recharge Codes
Get Credit,Get Credit
Give Credit,Give Credit
groups not used if empty,groups not used if empty
groups not used if empty,groups not used if empty
ID,ID
In Order #%s,In Order #%s
Internal Balance Changed,Internal Balance Changed
Internal Credit,Internal Credit
Is Active,Is Active
Last Used,Last Used
MageWorx &gt; Customers,MageWorx &gt; Customers
Manage Recharge Codes,Manage Recharge Codes
Modified,Modified
Modified On,Modified On
My Credit,My Credit
My Credit Activity,My Credit Activity
No,No
Not enough Credit Amount to complete this operation.,Not enough Credit Amount to complete this operation.
Not enough Credit Amount to complete this Order.,Not enough Credit Amount to complete this Order.
Numeric,Numeric
One-time,One-time
Order #%s,Order #%s
Order #%s; \nCredit Memo #%s,Order #%s; \nCredit Memo #%s
Order not set.,Order not set.
Payment with Credit,Payment with Credit
Purchase of Credit Units,Purchase of Credit Units
Purchase of Credit Units in Order #%s,Purchase of Credit Units in Order #%s
Qty,Qty
Qty of Credit Units:,Qty of Credit Units:
Recent Actions,Recent Actions
Recharge,Recharge
Recharge Code,Recharge Code
Recharge Code can not be deleted.,Recharge Code can not be deleted.
Recharge code hasn't assigned.,Recharge code hasn't assigned.
Recharge Code is invalid.,Recharge Code is invalid.
Recharge Code was successfully saved,Recharge Code was successfully saved
Recharge Codes,Recharge Codes
Refunded,Refunded
Refunded to Customer's Credit,Refunded to Customer's Credit
Returned credit amount: %s.,Returned credit amount: %s.
Send Notification when Balance is Changed by Admin,Send Notification when Balance is Changed by Admin
Settings,Settings
"Static Block for ""My Credit"" Section","Static Block for ""My Credit"" Section"
Submit Code,Submit Code
The customer not found,The customer not found
To Date,To Date
Unknown log action type.,Unknown log action type.
Updated,Updated
Use Credit,Use Credit
Used,Used
Value,Value
View All,View All
Website,Website
Website ID is not set,Website ID is not set
Wrong Recharge Code specified.,Wrong Recharge Code specified.
Yes,Yes
You are using your credit to pay this order.,You are using your credit to pay this order.
Your credit amount is not enough.,Your credit amount is not enough.
Your current credit balance is:,Your current credit balance is:
