"Add rel="nofollow" to Sorting Links","Add rel="nofollow" to Sorting Links"
"<a target="_blank" href="http://googlewebmastercentral.blogspot.com/2011/09/pagination-with-relnext-and-relprev.html">Read description here</a>","<a target="_blank" href="http://googlewebmastercentral.blogspot.com/2011/09/pagination-with-relnext-and-relprev.html">Read description here</a>"
"Catalog Pagination","Catalog Pagination"
"Display Category Description only on First Page","Display Category Description only on First Page"
"Enabled","Enabled"
"Include Google Pagination Tags","Include Google Pagination Tags"
"MagPleasure Extensions","MagPleasure Extensions"
"SEO Bundle","SEO Bundle"
"Seo Friendly Pagination","Seo Friendly Pagination"
"To avoid duplication","To avoid duplication"
