"%s Item(s)","%s件商品"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","版权所有 &copy; 2010 演示商店"
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"(ver. %s)","(版本 %s)"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- or Shift-click to decrease it","- or Shift-click to decrease it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"About the calendar","About the calendar"
"Click <a href=""%s"">here</a> if nothing has happened","如果没有反应，请点击 <a href=""%s"">这里</a>"
"Close Window","关闭窗口"
"Close","关闭"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
"Date selection:","Date selection:"
"Default Description","缺省说明"
"Default welcome msg!","缺省欢迎信息！"
"Display %s first","Display %s first"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Drag to move","Drag to move"
"For latest version visit: %s","For latest version visit: %s"
"Go Today","Go Today"
"Help Us to Keep Magento Healthy",""
"Interface Language","界面语言"
"Items %s to %s of %s total","%s到%s，共%s"
"Next Page","下一页"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Page:","页："
"Prev. month (hold for menu)","Prev. month (hold for menu)"
"Prev. year (hold for menu)","Prev. year (hold for menu)"
"Previous Page","上一页"
"Redirecting...","正在重定向页面..."
"Report All Bugs",""
"Select Store","选择商店"
"Select date","Select date"
"Show","显示"
"Skip to Footer","Skip to Footer"
"Skip to Left Column","Skip to Left Column"
"Skip to Main Content","转到主页眉"
"Skip to Right Column","Skip to Right Column"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","这是演示商店，所有订单都不会被处理。"
"Time selection:","Time selection:"
"Time:","Time:"
"Welcome, %s!","欢迎您，%s!"
"You're currently on:","当前登录帐号："
"Your Language","您的语言"
"Your Language:","您的语言："
"per page","每页"
