"Points","Punkte"
"Reward points","Bonuspunkte"
"You have %d point(s) available","Sie verfügen über %d Punkt(e)"
"To get a discount you need at least %d points","Um einen Rabatt zu erhalten benötigen Sie mindestens %d Punkte"
"Enter quantity of credit you want to use.","Geben Sie die Anzahl einzusetzender Bonuspunkte ein."
"%d points","%d Punkte"
"Apply Points","Punkte aufwenden"
"Apply points","Punkte aufwenden"
"You are currently using %d point(s) of your %d point(s) available","Sie nutzen zur Zeit %d Punkt(e) der verfügbaren %d Punkt(e)"
"Remove Points","Punkte entfernen"
"Not enough points available.","Nicht genug Punkte verfügbar."
"The minimum required points is not reached","Die minimal erforderliche Anzahl Punkte wurde nicht erreicht"
"Amount of points wrongly used","Anzahl fälschlich genutzter Punkte"
"Your Points","Ihre Punkte"
"Total Accumulated Points","Total angesammelte Punkte"
"Total Points Spent","Total ausgegebene Punkte"
