"Points","Puntos"
"Reward points","Puntos de Fidelización"
"You have %d point(s) available","Tiene %d puntos disponibles"
"To get a discount you need at least %d points","Para obtener un descuesto, necesitas al menos %d puntos."
"Enter quantity of credit you want to use.","Introduzca la cantidad de puntos que desea utilizar."
"%d points","%d puntos."
"Apply Points","Utilizar mis puntos"
"Apply points","Utilizar mis puntos"
"You are currently using %d point(s) of your %d point(s) available","Estas usando %d puntos del total de %d puntos disponibles"
"Remove Points","Borrar puntos"
"Not enough points available.","No tiene puntos suficientes"
"The minimum required points is not reached","No ha alcanzado el mínimo de puntos necesario"
"Amount of points wrongly used","Puntos utilizados incorrectamente"
"Your Points","Sus puntos"
"Total Accumulated Points","Total de puntos conseguidos"
"Total Points Spent","Total de puntos usados"
"Points waiting for validation","Puntos pendientes de validar"
"Your cart amount has not reached the minimum required points","El total de su carrito no ha alcanzado el mínimo de puntos necesario"
"yes","Si"
"no","No"
"Please enter a valid email address","Por favor, introduzca una dirección de correo válida."
"Please enter your friend name","Introduzca el nombre del destinatario"
"This email has been already submitted","Ese correo electrónico ya está utilizado por unos de nuestros usuarios"
"There was a problem with the invitation","Ha habido un problema con el envío de la invitación"
"This email was successfully invited","El correo electrónico se ha enviado correctamente."
"Friend's name","Nombre de su amigo"
"Statistics","Estadísticas"
"Reward Points","Puntos de Fidelización"
"Customer full name","Cliente"
"Customer email","Correo electronico del cliente"
"Accumulated points","Puntos conseguidos"
"Spent points","Puntos usados"
"Add New","Añadir"
"Action Type","Tipo de acción"
"Rule Title","Nombre de la regla"
"Type of action","Tipo de acción"
"Check Order Points","Verificar puntos"
"Refresh customer points","Refrescar puntos de clientes"
"Defaults","Configuracion por defecto"
"Points gathered per Money spent","Puntos conseguidos por unidad de dinero gastada"
"Points gathered for 1 unit of money spent. (e.g. if set to 2, you will obtain 100 points for $50 spent).","Equivalencia de puntos por unidad de dinero gastada (por ej. Si 2, y el cliente gasta 50€ , obtendrá 100 puntos)"
"Points to obtain 1 €","Puntos necesarios para obtener 1€"
"Amount of points required to obtain a discount.","Cantidad de puntos necesaria para obtener un descuento"
"Apply points by step","Aplicar puntos por lotes (pasos)"
"Apply credit points step by step. e.g. 250, 500, 750, etc.","Aplicar los puntos por pasos, por ejemplo 250, 500, 750,..."
"Step value","Intervalo de paso"
"The step value","Intervalo de paso"
"Use max amount of points","Utilizar el máximo de puntos"
"Apply the maximum amount of point to the order","Usar el máximo de puntos disponibles a cada pedido"
"Round up points","Redondear al alza"
"If yes, the points will be rounded. Otherwise, it will be floored.","Si sí, los puntos ganados seran redondeados al alza"
"Referral points","Puntos de Referidos"
"Referral points (%s)","Puntos de Referidos (%)"
"Points earned when referred friend orders.","Puntos obtenidos cuando el referido hace un pedido y se completa"
"Referral child points","Puntos de Referidos Hijo"
"Points earned by referred friend for first order.","Puntos ganados por el referido en su primer pedido"
"Select email template (Referral subscribe)","Escoge una plantilla de email (Suscripcion de referido)"
"Select email template (Referral confirm)","Escoge una plantilla de email (Primer pedido del referido)"
"Referrals","Referidos"
"Catalog point rules","Regla de puntos del catálogo"
"Cart point rules","Regla de puntos del carrito"
"Order details","Información del pedido"
"Customer ID","ID del  Cliente"
"Store ID","ID de Tienda"
"Points are","Los puntos son"
