"<a href=""%s"">Blocks Cache</a> to manage additional block caching.","<a href=""%s"">La gestion des caches de blocks</a> pour ajouter des blocs à mettre en cache."
"<a href=""%s"">Exceptions</a> to configure items not to cache.","<a href=""%s"">La gestion des exceptions</a> pour choisir des éléments à ne pas mettre en cache."
"<a href=""%s"">Global Cache Management</a> to enable homepage caching and cache expiration settings.","<a href=""%s"">La gestion globale du cache</a> pour activer le cache de la page d'accueil et les délais d'expiration."
"<a href=""%s"">Symlink Cache</a> to optimize filesystem cache and use symlinks for tags <-> caches relationships.","<a href=""%s"">La gestion du Symlink Cache</a> pour optimiser le cache en filesystem et utiliser des liens symboliques pour l'association tags <-> caches."
"Advanced Cache","Gestion avancée du cache"
"Block class must be unique.","La classe de bloc doit être unique."
"Block Class","Classe de bloc"
"Block identifier must be unique.","L'identifiant doit être unique."
"Block Name in Layout","Nom du bloc dans le layout"
"Blocks Cache","Cache de blocs"
"Blocks Cache","Caches de blocs"
"Cache Blocks Manager","Gestion des blocs en cache"
"Blocks","Blocs"
"but note you will have to configure a fast backend that requires the use of a slow backend in order to make this work (e.g. apc or memcached):","mais il est nécessaire de configurer votre environnement avec un système de fast backend acceptant l'utilisation d'un slow backend (ex : APC, Memcached...) :"
"Catalog (products and categories)","Catalogue (produits et catégories)"
"catalog",""Catalogue (produits et catégories)""
"Clean Cache","Vider le cache"
"Cleaning main ""Blocks HTML output"" will clean all cache blocks below.","Tous les caches ci-dessous seront vidés lors du vidage du cache principal ""Blocks HTML output"""
"CMS pages and blocks","Pages et blocs CMS"
"cms",""Pages et blocs CMS""
"Created %s symlinks","%s symlinks créés"
"Delete Exception","Supprimer l'exception"
"Credits: ","Crédits : "
"Depends on Current Category","Dépend de la catégorie courante"
"Depends on Current Product","Dépend du produit courant"
"disabled","désactivé"
"Edit Cache Block","Editer le cache de bloc"
"enabled","activé"
"Exception for this item already exists","Une exception pour cet élément existe déjà"
"Exception information","Informations sur cette exception"
"Exceptions Manager","Exceptions"
"Expiration Management","Gestion des délais d'expiration"
"Homepage blocks","Blocks de la page d'accueil"
"Identifier (Tag)","Identifiant (Tag)"
"Initialize Tag Symlinks","Initialiser les symlinks"
"Is Breadcrumbs Rewrite","Est une réécriture de Breadcrumbs"
"Is Product List Rewrite","Est une réécriture de Products List"
"Is Product View Rewrite","Est une réécriture de Product View"
"Item Manager","Gestion des caches additionels de blocs"
"New Cache Block","Nouveau cache de bloc"
"New Exception","Nouvelle exception"
"Or access directly to:","Ou accéder directement à :"
"Please manage advanced cache features by using main menu:","Pour configurer la gestion avancée du cache, merci d'utiliser le menu de navigation principale :"
"Please select block(s)","Merci de sélectionner des blocs"
"Save Exception","Enregistrer l'exception"
"seconds.","secondes."
"See this project on Github","Voir ce projet sur Github"
"Shortest","Le plus rapide"
"Special Configuration","Configuration spéciale"
"Symlink Cache feature comes from Vinai's Symlink Cache module.","La fonctionalité Symlink Cache est tirée du module Netzarbeiter_Cache de Vinai."
"Symlink Filecache","Symlink Cache"
"System > Configuration > Advanced Cache","Système > Configuration > Gestion avancée du cache"
"The cache has been cleared.","Le cache a bien été vidé."
"The exception has been saved.","L'exception a été enregistrée"
"The Symlink Cache is currently <strong>%s</strong>","Le Symlink Cache est actuellement <strong>%s</strong>"
"The value of %s cache is not valid. Please use numbers.","La valeur saisie pour %s n'est pas valide. Merci d'utiliser un nombre."
"This block no longer exists.","Ce bloc n'existe plus."
"To use the symlink cache as the <strong>main cache</strong> backend, put the following code into your app/etc/local.xml file:","Pour utiliser Symlink Cache <strong>pour tout le cache</strong>, placer le code ci-dessous dans le fichier app/etc/local.xml de votre instance Magento :"
"To use the symlink cache as the <strong>slow backend</strong>, put the following code into your app/etc/local.xml file","Pour utiliser Symlink Cache <strong>uniquement pour le slow backend</strong>, placer le code ci-dessous dans le fichier app/etc/local.xml de votre instance Magento"
"Total of %d cache(s) have been cleared.","%d cache(s) ont été vidés."
"Unable to empty cache project specific blocks. Please make sure they are returned as an array.","Impossible de vider le cache les blocks spécifiques au projet. Merci de garantir qu'ils soient renvoyés en array."
"Unable to read metadatas file %s","Impossible de lire le fichier de metadatas %s"
"Usage","Utilisation"
