"Click to enlarge image","Anklicken zum Vergrößern"
"Click to see more images","Anklicken um mehr Bilder anzusehen"
"PDF Proof","PDF Kontrolle"
"Update preview","Aktualisieren der Vorschau"
"Updating preview image","Vorschaubild wird aktualisiert"
"Next page","Nächste Seite"
"Show previews","Vorschaubilder zeigen"
"Hide previews","Vorschaubilder verbergen"
"Show all order previews","Die Bestell-Vorschaubilder zeigen"
"Hide all order previews","Die Bestell-Vorschaubilder verbergen"
"Edit","Bearbeiten"
"Delete","Entfernen"
"Can't get preview image:","Das Vorschaubild wurde nicht gefunden:"
"There was an error in generating or receiving preview image.\nPlease try again.","Es gab einen Fehler beim Erstellen oder Empfangen der Vorschaubilder."
"Error was occurred while preparing preview image","Ein Fehler ist aufgetreten bei der Vorbereitung des Vorschaubildes."
"Error was occurred while uploading image","Ein Fehler ist aufgetreten beim Hochladen des Vorschaubildes."
"Click to close","Anklicken zum Schließen"
"Click to view in large size","Anklicken zum Vergrößern"
"Click to delete","Anklicken zum Entfernen"
"Click to edit","Anklicken zum Bearbeiten"
"Can't delete image","Das Bild konnte nicht gelöscht werden."
"Delete this image","Dieses Bild entfernen"
"Name","Name"
"Created","Erstellt"
"Fit in field","In Feld einpassen"
"Fit image in field","Das Bild im Feld einpassen"
"Rotate Image Right","Das Bild nach rechts drehen"
"Rotate right","Nach rechts drehen"
"Rotate Image Left","Das Bild nach links drehen"
"Rotate left","Nach links drehen"
"Crop Image","Das Bild zuschneiden"
"Crop","Zuschneiden"
"Undo all changes","Alle Änderungen rückgängig machen"
"Restore","Ersetzen"
"Delete Image","Das Bild entfernen"
"Personalize","Personalisieren"
"Please specify the product's required option(s) and/or personalize it","Bitte geben Sie die gewünschte Optionen des Produktes ein und/oder personalisieren Sie es."
"Pending Review","Warten auf Überprüfung"
"Share preview","Vorschau mitteilen"
"Save","Speichern"
"Reset","Zurücksetzen"
"ZetaPrints web-to-print options","ZetaPrints web-to-print Optionen"
"Customer's personal options for web-to-print extension.","Kunden personalisierte Optionen für web-to-print Erweiterung."
"Update all previews first!","Zuerst alle Vorschaubilder aktualisieren!"
"Update preview first!","Zuerst die Vorschau aktualisieren"
"Settings","Konfiguration"
"Enabled","Aktiviert"
"ZetaPrints URL","ZetaPrints URL"
"ZetaPrints API Key","ZetaPrints API Key"
"Store","Speichern"
"Refresh All","Alle aktualisieren"
"For Deleted Templates","Für gelöschte Vorlagen"
"File Uploading Limit","Datei Uploadgrenze"
"Up/Down","Oben/Unten"
"Collapse/Expand","Einklappen/Ausklappen"
"Title","Titel"
"Upload","Hochladen"
"My images","Meine Bilder"
"Stock images","Stock Bilder"
"Color picker","Farbwähler"
"Blank","Leer"
"Default","Standard"
"Upload new image from your computer","Ein neues Bild von Ihrem Computer hochladen"
"Choose file","Datei wählen"
"Upload file","Die Datei hochladen"
"Click to enlarge","Anklicken zum Vergrößern"
"Choose a color","Eine Farbe wählen"
" and click Select to fill the place of the photo."," und Wählen anklicken, um den Platz des Fotos auszufüllen."
"Click to show page","Anklicken, um die Seite zu zeigen"
"Recommended size:","Empfohlene Größe:"
"px","px"
