"Click to enlarge image","Pincha para agrandar imagen"
"Click to see more images","Pincha para ver mas imagenes"
"PDF Proof","Muestra PDF"
"Update preview","Vista Previa"
"Updating preview image","Actualizando Vista Previa"
"Next page","Pagina Siguente"
"Show previews","Ver Vistas Previas"
"Hide previews","Esconder Vistas Previas"
"Show all order previews","Ver todas las vistas de los pedidos"
"Hide all order previews","Esconder todas las vistas de los pedidos"
"Edit","Editar"
"Delete","Borrar"
"Can't get preview image:","No se pudo generar la vista previa de la imagen:"
"There was an error in generating or receiving preview image.\nPlease try again.","Ha ocurrido un error al generar o recibir la vista previa. Por favor intentelo de nuevo."
"Error was occurred while preparing preview image","Ha ocurrido un error al generar la vista previa de la imagen"
"Error was occurred while uploading image","Ha ocurrido un error al subir la imagen"
"Click to close","Pincha para cerrar"
"Click to view in large size","Pincha para ver tamano grande"
"Click to delete","Pincha para borrar"
"Click to edit","Pincha para editar"
"Can't delete image","No se pudo borrar la imagen"
"Delete this image","Borrar esta imagen"
"Name","Nombre"
"Created","Creado"
"Fit in field","Ajustar al marco"
"Fit image in field","Ajustar imagen al marco"
"Rotate Image Right","Girar Imagen a derecha"
"Rotate right","Girar Derecha"
"Rotate Image Left","Girar Imagen a izquerda"
"Rotate left","Girar Izquerda"
"Crop Image","Recortar Imagen"
"Crop","Recortar"
"Undo all changes","Deshacer todos los cambios"
"Restore","Restaurar"
"Delete Image","Borrar Imagen"
"Personalize","Personalizar"
"Please specify the product's required option(s) and/or personalize it","Especifica las opciones requeridas del producto y personalizalos"
"Pending Review","Valoracion Pendiente"
"Share preview","Compartir Vista Previa"
"ZetaPrints Sync","ZetaPrints Sync"
"Settings","Configuracion"
"Enabled","Activar"
"ZetaPrints URL","ZetaPrints URL"
"ZetaPrints API Key","ZetaPrints API Key"
"Store","Tienda"
"Refresh All","Refrescar Todo"
"For Deleted Templates","Para plantillas Borradas"
"File Uploading Limit","Limite de subida de archivo"
"Up/Down","Arriba/Abajo"
"Collapse/Expand","Encojer/expandir"
"Title","Titulo"
"Upload","Subir"
"My images","Mis Imagenes"
"Stock images","Galeria Imagenes"
"Color picker","Paleta de Colores"
"Blank","Nada"
"Default","Por Defecto"
"Upload new image from your computer","Subir nueva imagen de tu ordenador"
"Choose file","Elige Archivo"
"Upload file","Subir Archivo"
"Click to enlarge","Pincha para agrandar"
"Choose a color","Elige un color"
" and click Select to fill the place of the photo."," pincha Select para rellenar el fondo de la foto."
"Click to show page","Pincha para ver la pagina"
