"Password is incorrect.","パスワードが間違っています。"
"Unable to delete your account","アカウントを削除できません。"
"My Account","マイアカウント"
"Your Password","パスワード"
"* Required Fields","* 必須項目です"
"Back","戻る"
"Delete Account","退会"
"Delete Your Account","退会"
"Thank you for using our survice!","ご利用ありがとうございました！"
"Your account has been successfully deleted and you will be redirected to the main page in 5 seconds...","アカウントを削除しました。5秒後にトップページに移動します。"
"Invalid access. Please retry.","不正なアクセスです。やり直してください。"
"Requested order data does not exists.","対象のデータが存在しません。"
"Order #%s has been successfully canceled.","ご注文番号 %s をキャンセルしました。"
"Unable to cancel your order","ご注文をキャンセルできません。"
"Cancel Order", "キャンセル"
"Order Delete Setting","注文キャンセル設定"
"Can Delete Customer","退会可能"
"Can Cancel Order","注文キャンセル可能"
