"Enable LightBox","Abilita LightBox"
"Wrap images","Wrap images"
"Maximum size of big image","Dimensione massima immagine grande"
"Maximum size of base image","Dimensione massima immagine base"
"Maximum size of thumbnails","Dimensione massima dei thumbnail"
"Effects","Effetti"
"Fade-in duration","Durata fade-in"
"Fade-out duration","Durata fade-out"
"Image swap duration","Durata transizione immagini"
"Display","Visualizzazione"
"Background opacity","Trasparenza dello sfondo"
"Background color","Colore dello sfondo"
"Imagebox opacity","Trasparenza del riquadro immagine"
"Imagebox color","Colore del riquadro immagine"
"Toolbar opacity","Trasparenza della barra strumenti"
"Toolbar color","Colore della barra strumenti"
"Toolbar text color","Colore del testo della barra strumenti"
"Toolbar text font","Font della barra strumenti"
"Toolbar text size","Dimensione carattere della barra strumenti"
"Padding size","Spaziatura immagine"
"Outer border size","Dimensione del bordo esterno"
"Outer border color","Colore del bordo esterno"
"Size in pixels (e.g.: 800x600)","Dimensione in pixel (es.: 800x600)"
"Size in pixels (e.g.: 256x256)","Dimensione in pixel (es.: 256x256)"
"Size in pixels (e.g.: 60x60)","Dimensione in pixel (es.: 60x60)"
"Value between 0.0 and 1.0","Valore compreso tra 0.0 e 1.0"
"HTML color format (e.g.: #000000)","Formato colore HTML (es.: #000000)"
"HTML color format (e.g.: #909090)","Formato colore HTML (es.: #909090)"
"Text size in pixels (e.g.: 12)","Dimensione testo in pixel (es.: 12)"
"Size in pixels (e.g.: 10)","Dimensione in pixel (es.: 10)"
"Size in pixels (e.g.: 1)","Dimensione in pixel (es.: 1)"
"Font name (e.g.: Verdana)","Nome font (es.: Verdana)"
"Value in seconds (e.g.: 1.5)","Valore in secondi (es.: 1.5)"
"Photo %d of %d","Foto %d di %d"
