"EM Menu Manager","EM Menu Manager"
"EMThemes Menu Manager","EMThemes Menu Manager"
"Add New Menu","Add New Menu"
"Items Manager","Items Manager"
"Item Manager","Item Manager"
"Item News","Item News"
"Vertical","Vertical"
"Horizontal","Horizontal"
"Edit Menu '%s'","Edit Menu '%s'"
"Sub Label","Sub Label"
"URL","URL"
"Link:","Link:"
"Text","Text"
"Columns Layout","Columns Layout"
"Rows Layout","Rows Layout"
"Revert","Revert"
"Width","Width"
"Height","Height"
"Spacing","Spacing"
"WYSIWYG Editor","WYSIWYG Editor"
