"--Select--","--Select--"
"Add New Option","Neue Option hinzufügen"
"Add Selection","Auswahl hinzufügen"
"As low as","Kleinstmöglich"
"Bundle Items","Gebündelte Artikel"
"Bundle Product","Bündel Artikel"
"Buy %1$s with %2$s discount each","Kaufe %1$s mit je %2$s Rabatt"
"Checkbox","Checkbox"
"Choose a selection...","Bitte treffen Sie eine Auswahl..."
"Close","Schließen"
"Default","Standard"
"Default Qty","Standardmenge"
"Default Title","Standardtitel"
"Drop-down","Dropdown"
"Dynamic","Dynamisch"
"Excl. Tax","Zzgl. Steuern"
"Fixed","Fest"
"From","Von"
"From:","Von:"
"Gift Message","Geschenknachricht"
"Incl. Tax","Inkl. Steuern"
"Input Type","Eingabetyp"
"Is Required","Pflichtangabe"
"Message:","Nachricht:"
"Multiple Select","Mehrfachauswahl"
"N/A","Nicht verfügbar"
"No options of this product are available.","Für diesen Artikel sind keine Optionen verfügbar."
"None","Keine"
"Percent","Prozent"
"Percent Discount","Prozent Rabatt"
"Please enter search conditions to view products.","Bitte bestimmen Sie Suchkriterien, um Artikel anzeigen zu lassen."
"Please select options for product.","Bitte Optionen für den Artikel auswählen."
"Please select products to add","Please select products to add"
"Please specify product option(s)","Please specify product option(s)"
"Position","Position"
"Price Range","Preisbereich"
"Price Type","Preisart"
"Price as configured","Preis wie konfiguriert"
"Qty:","Menge:"
"Radio Buttons","Radio Buttons"
"Required options not selected.","Required options not selected."
"Selected required options not available.","Selected required options not available."
"Separately","Einzeln"
"Ship Bundle Items","Versende zusammengefasste Artikel"
"Shipment","Versand"
"Store View Title","StoreView Bezeichnung"
"There is no defined renderer for ""%s"" option type","Kein passender Renderer für ""%s"" Optionstyp"
"This product is also part of bundle(s)","Dieser Artikel ist auch Teil der Bündel Artikel"
"To","Bis"
"To:","Bis:"
"Together","Gemeinsam"
"User Defined Qty","Benutzerdefinierte Menge"
