"%s and greater","%s und größer"
"Advanced Search","Erweiterte Suche"
"All","Alle"
"Applies for ""Like"" Search type only","Nur anwendbar auf ""Like""-Suchen"
"Apply Layered Navigation if search results are less than","Apply Layered Navigation if search results are less than"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Attributänderung mit Suchindex verbunden. Sie müssen den <a href=""%s"">Suchindex neu aufbauen</a>"
"Autogenerated site map","Automatisch erzeugte Sitemap"
"Catalog Advanced Search","Erweiterte Katalogsuche"
"Catalog Search","Katalogsuche"
"Don't see what you're looking for?","Nicht gefunden, wonach Sie gesucht haben?"
"Go","Los"
"Go to Home Page","Zur Startseite"
"Grid","Gitter"
"Home","Startseite"
"List","Liste"
"Maximum Query Length","Maximallänge der Suchanfrage"
"Maximum Query Words Count","Maximalanzahl der Worte einer Suchanfrage"
"Maximum Search query  length is %s. Your query was cut.","Maximallänge der Suchanfrage ist %s. Ihre Anfrage wurde gekürzt."
"Minimal Query Length","Mindestlänge der Suchanfrage"
"Modify your search","Ändern Sie bitte Ihre Anfrage"
"No","Nein"
"No items were found using the following search criteria.","Mit den folgenden Suchkriterien wurden keine Produkte gefunden."
"Please enter ""0"" to enable layered navigation for any number of results","Please enter ""0"" to enable layered navigation for any number of results"
"Popular Search Terms","Beliebte Suchanfragen"
"Popular search terms","Beliebteste Suchanfragen"
"Relevance","Relevanz"
"Required Fields","Pflichtfelder"
"Results","Suchergebnisse"
"Search","Suchen"
"Search Settings","Sucheinstellungen"
"Search Site","Seiten durchsuchen"
"Search Terms","Suchbegriffe"
"Search Type","Art der Suche"
"Search entire store here...","Gesamten Shop durchsuchen..."
"Search results for '%s'","Suchergebnisse für '%s'"
"Search results for: '%s'","Suchergebnisse für: '%s'"
"Subscribe to Feed","Feed abonnieren"
"There are no search terms available.","Keine Suchbegriffe verfügbar."
"Yes","Ja"
"You have to specify at least one search term","Sie müssen mindestens ein Wort eingeben"
"Your search returns no results.","Ihre Suche lieferte keine Ergebnisse."
"up to %s","bis zu %s"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d Artikel(s)</strong> wurde mit der folgenden Suchkriterien gefunden"
"Is product available for purchase with Google Checkout","Is product available for purchase with Google Checkout"
"Advanced Search","Advanced Search"
"Search Terms","Search Terms"
"Popular Search Terms","Popular Search Terms"
"There are no search terms available.","There are no search terms available."
