"%s already exist","%s existiert bereits"
"%s already exists","%s existiert bereits"
"-- Please Select --","-- Bitte wählen --"
"Add Block Names to Hints","Blocknamen zu Hinweisen hinzufügen"
"Add Secret Key to URLs","Secret-Key zu URLs hinzufügen:<br />z.B.""http://www.....de/index.php/admin/dashboard/<span style=color:red;"">eeacf3e75</span>/"""
"Add Store Code to Urls","StoreCode zu URLs hinzufügen"
"Admin","Admin"
"Admin Base URL","Admin Basis-URL"
"Admin User Emails","Admin Benutzer E-Mails"
"Advanced","Erweitert"
"Allow countries","Erlaubte Länder"
"Allowed IPs (comma separated)","Erlaubte IPs (Kommagetrennt)"
"Are you sure?","Sind Sie sicher?"
"Back","Zurück"
"Backup options","Backup options"
"Base JavaScript URL","Basis JavaScript URL"
"Base Link URL","Basis Link URL"
"Base Media URL","Basis Media URL"
"Base Skin URL","Basis Skin URL"
"Base URL","Basis-URL"
"Before modifying the store view code please make sure that it is not used in index.php","Bevor Sie Änderungen an der StoreView vornehmen, stellen Sie sicher, daß diese nicht in der index.php verwendet wird."
"Before modifying the website code please make sure that it is not used in index.php","Bevor Sie Änderungen am Website Code vornehmen, stellen Sie sicher, daß dieser nicht in der index.php verwendet wird."
"Block with name ""%s"" already exists","Der Block mit dem Namen ""%s"" existiert bereits"
"Blocks HTML output","Blocks HTML output"
"Can't retrieve request object","Kann Anfrageobjekt nicht ermitteln"
"Can't retrieve entity config: %s","Kann Datensatzkonfiguration nicht abrufen: %s"
"Cancel","Abbrechen"
"Cannot Delete Email Template","Kann E-Mail Vorlage nicht löschen"
"Cannot complete this operation from non-admin area.","Diese Aktion von einem nicht administrativen Bereich nicht abgeschlossen werden."
"Category object is required for determining product request path","Category object is required for determining product request path"
"Code","Code"
"Collections Data","Collections Data"
"Configuration","Configuration"
"Controller file was loaded but class does not exist","Controller Datei wurde geladen, aber Klasse existiert nicht"
"Cookie Domain","Cookie Domain"
"Cookie Lifetime","Cookie Lebensdauer"
"Cookie Path","Cookie Pfad"
"Copyright","Copyright"
"Countries options","Länderoptionen"
"Create Store","Store anlegen"
"Create Store View","StoreView anlegen"
"Create Website","Website anlegen"
"Current package name","Aktueller Paketname"
"Custom Design","Eigene Gestaltung"
"Custom admin URL","Custom admin URL"
"Custom email 1","Eigene E-Mail 1"
"Custom email 2","Eigene E-Mail 2"
"Customer support","Kundensupport"
"Date From","Datum von"
"Date To","Datum bis"
"Date/time format ""%s"" is not supported.","Datums-/Zeitformat ""%s"" wird nicht unterstützt."
"Debug","Debug"
"Default","Standard"
"Default Description","Standard Beschreibung"
"Default Keywords","Standard Keywords"
"Default Pages","Standardseiten"
"Default Robots","Standard Robots"
"Default Store","Standard Store"
"Default Store View","Standard StoreView"
"Default Title","Standard Titel"
"Default country","Standard Land"
"Default no-route url","Standard No-Route URL"
"Default web url","Standard Web-URL"
"Delete","Löschen"
"Delete Store","Store löschen"
"Delete Store View","StoreView löschen"
"Delete Website","Website löschen"
