"-- Please Select --","-- Bitte wählen --"
"Add New Class","Neue Klasse anlegen"
"Add New Tax Rate","Neuen Steuersatz anlegen"
"Add New Tax Rule","Neue Steuerregel anlegen"
"Apply Discount On Prices Including Tax","Apply Discount On Prices Including Tax"
"Apply Tax After Discount","Apply Tax After Discount"
"Apply Tax On","Steuer anwenden auf"
"Are you sure you want to do this?","Sind Sie sicher, daß Sie das machen wollen?"
"Back","Zurück"
"CSV","CSV"
"Calculation","Calculation"
"Catalog prices include tax","Catalog prices include tax"
"Class Name","Klassenname"
"Code","Code"
"Country","Land"
"Country/Region/Postal code combination","Country/Region/Postal code combination"
"County","Landkreis"
"Custom price if available","Individueller Preis, wenn verfügbar"
"Customer Tax Class","Kundensteuerklasse"
"Customer Tax Class Information","Kundensteuerklasse Information"
"Customer Tax Classes","Kundensteuerklassen"
"Default Country","Standard Land"
"Default Post Code","Standard PLZ"
"Default State","Standard Bundesland"
"Default Tax Origin Calculation","Default Tax Origin Calculation"
"Delete Class","Steuerklasse löschen"
"Delete Rate","Steuersatz löschen"
"Delete Rule","Regel löschen"
"Display","Display"
"Display Cart/Order Prices","Display Cart/Order Prices"
"Display Product Prices","Display Product Prices"
"Display Shipping Prices","Versandkosten anzeigen"
"Display Zero Tax Subtotal","Steuerzwischensumme auch anzeigen, wenn 0,00"
"Display full tax summary","Display full tax summary"
"Edit Class","Steuerklasse bearbeiten"
"Edit Class '%s'","Steuerklasse '%s' bearbeiten"
"Edit Rule","Regel bearbeiten"
"Edit Tax Rate","Steuersatz löschen"
"Error while deleting this class. Please try again later.","Fehler beim Löschen dieser Steuerklasse. Bitte versuchen Sie es später noch einmal."
"Error while deleting this rate. Incorrect rate ID","Fehler beim Löschen dieses Steuersatzes. Falsche Steuersatz-ID"
"Error while deleting this rate. Please try again later.","Fehler beim Löschen dieses Steuersatzes. Bitte versuchen Sie es später noch einmal."
"Error while deleting this tax rule. Please try again later.","Fehler beim Löschen dieser Regel. Bitte versuchen Sie es später noch einmal."
"Error while saving this rate. Please try again later.","Fehler beim Speichern dieses Steuersatzes. Bitte versuchen Sie es später noch einmal."
"Error while saving this tax class. Class with the same name ","Fehler beim Speichern dieser Steuerklasse. Der Klassenname existiert bereits"
"Error while saving this tax class. Please try again later.","Fehler beim Speichern dieser Steuerklasse. Bitte versuchen Sie es später noch einmal."
